,Value
Min,0.04648928400229118
Max,1.4563100198961136
Range,1.4098207358938224
Mean,0.40416033516417305
Std Dev,0.3966800912124829
CV (%),98.14918899731919
d10,0.07515497822655398
d50 (Median),0.20023703356367098
d90,1.1847019206583869
Span,5.541167498763516
